reference,generated_summary
Harley and Ruby are discussing the divorce filing. Harley and Ruby agree there are always two sides.,"Harley and Ruby are discussing the divorce filing of a serial cheater. Harley's ex-wife is taking him to the cleaners with a monthly settlement, half his pension and a house."
Ken feels stressed because of work and fighting with Brad. There is also too much going on at mom's. Ken is going to a show on Saturday night. On Sunday Ken is seeing the grandkids at the zoo.,"Ken is stressed because of work, fighting with Brad and too much going on at mom's. He will see the grandkids on Sunday at the zoo."
It's derby day today. Titus supports Manchester United. Julius supports City.,Today is the Manchester derby day. Titus is supporting Manchester United. 
Addisyn hasn't talked to Dexter for a long time and he thinks she doesn't love him anymore.,Dexter and Addisyn haven't talked for a long time. Dexter misses her. Addislyn doesn't
Jason had a dental appointment today and that's why he was absent.,Jason was absent today because he had a dental
Cindy has made arrangements for today's meeting at 2 pm in the conference room. She also organised flights and hotel for next week's trip. Don is appreciative. ,Don has a meeting with management board today at 2 pm in the conference room. Cindy has made all the arrangements for Andy's trip next week. Andy will get a cab to the airport and stay at Hilton.
Samuel ordered a smoke.,"Samuel is at a joint in Laos. Jack loves the ""happy menu"" and wants to go to the same place."
"Mike considers going to Egypt for holiday. It's too hot for Celia, she suggests Croatia instead. Mark likes the idea, he's never been there. ",Mike and Celia are going on holiday to Croatia
"Jasmine loves Charlie Puth and his new song. Paola thinks Charlie Puth is attractive. Paola likes the song ""Galway Girl"" by Ed Sheeran.",Jasmine and Paola love Charlie Puth's new song. Paola loves Galway Girl
Jaz will come to dye Sharon's roots on Sunday at 2.30.,Jaz will come to Sharon's on Sunday at 2.30 to sort out her roots as she can't get to the salon this week.
Pete will be home for lunch in about 20 minutes.,Pete will be home
Laura wants Kas to tidy up her dreads this weekend. Kas will let her know tonight if she is available.,Kas will let Laura know tonight if he can tidy up her dreads for her this weekend. Kas will check his schedule
"Jill did 20 or 30 so far, 3-4 per day, 40 or 35 hours, so the same as Ally.",. Jill can't do more than 3-4 hours per
James and Mia want to go to an art exhibition tomorrow. James wants Amelia to go with them but Mia isn't sure about it. James and Mia will go to his place afterwards.,"Mia and James are going to an art exhibition tomorrow. They will go with Professor Evans, their philosophy professor. Mia and James will go to the exhibition and to the cinema with Amelia. Afterwards they will go back to James' place."
Chae-yeong and Arthur inform Mariana that the readings for the next session of Stephen's seminar weren't available in the print shop on Monday. Rita decides to go and chcek if the situation's changed tomorrow and she'll let everyone know.,The readings for the next session of Stephens seminar are not yet in the print shop. Rita will ask them to print more for later.
"Ost bought a garage place for a good price. He intends to rent it out. He thinks it will be a better deal than keeping savings in the bank. The prices of garage place in Belgrade will grow as there are more and more vehicles.

",Ost bought a garage place in the garage. He wants to rent it out and do the restitution of his money. Vesna finds the return on investment higher than giving money to the Bank.
Hania has been traveling for 3 hours already. She will get there around 7pm. Julia will order takeaway pizza for her. ,Hania has been on the road for 3 hours already. She will be in Zawiercie around 7pm. Julia will pick her up from the platform.
Kaylee is blocking Gavin and Gavin doesn't care as he finds Kaylee too much irritating.,Kaylee is blocking Gavin because he is irritating her. Gavin doesn't
Marika is coming today.,Lara is coming to
"Mazie and her girlfriends are having a drink tonight. Lee doesn't like some of her friends, for example Sheryl. Lee had spilt a drink on her.",Mazie and his friends are having a drink tonight. Lee can't stand some of Mazie's friends. Sheryl is one of them.
Erin has just baked something that Zachary finds delicious. Zachary wants her to bring him a piece of it as now he's busy cleaning. ,Erin has just baked a cake for Zachary. He will bring it to him later. He is busy cleaning the flat.
Joseph was happy with two of the three hotel job interviews he had this week.,"Joseph had three job interviews in two days. The first two were for hotels. The third one was ok, but the woman there didn't seem to like him."
Sue wants Graham to give her some dates for weekends in the Romford area. Lady Louise wants another 2 half days and focus on motorways. Graham has 2/3/9/10/16/17/23. Sue will let Graham know when Lady Louise comes back to her.,Sue will send Graham some dates over for weekends in Romford area. Louise wants another 2 half days and focus on motorways. Sue will let Graham know when she comes back.
Brett's cousin met his wife while playing a game together. Andrew's favorite game is the Final Fantasy. Brett and John haven't heard about it.,Brett's cousin met his wife at a game of World of Warcraft. Andrew's favourite genre is RPGs. Andrew likes the Final Fantasy series.
Rael finds the atmosphere at her workplace to be unbearable. Many people switch their career paths and move to the IT sector. Rael only needs good analytical skills and an on-line course to start work in IT.,Rael hates her job. She doesn't even have time to eat her lunch. Rael is considering quitting her job and looking for a new one. Zach suggests Rael to consider IT.
Susan went on a date to the rollerskating disco and she enjoyed it. Jill doesn't find it exciting.,Susan had a date. They went to a rollerskating disco. Susan is tired of dull restaurant dates. Jill is jealous.
Joe is going to watch Deadpool 2 with his fellows and Pete will join them.,Joe and Pete are going to watch Deadpool 2 with
"Euodia didn't know about TikTok application, so Domigo explained what it was.","Euodia doesn't know what Tiktok is, but her friends were talking about it. It's a new video editing application that allows you to edit videos and share them with friends."
Hugh shares a photo of his son with Joan and Julia. ,Hugh has a son
"Nathalie, Pauline, Jacob and Anthony are thinking about spending holidays in Greece together in August. Jacob and Nathalie need to be back by August 10 because of Nathalie's younger sister's wedding. ",Nathalie and Anthony are going to Greece in August. Jacob and Pauline will be back by August 10th. Nathalie's sister is getting married.
"Lori is at Copley. Lori was supposed to meet Maria at Prudential, but misunderstood her. There's a traffic jam, but Lori believes she will meet Maria in several minutes. ","Maria and Lori were supposed to meet at Prudential, but there is a traffic jam in Copley. Lori will be there in 5 minutes."
"Randy has been lying about being rich and travelling around the world, as he lives in a studio apartment in the suburbs.",Marta and Rose think Jay is a pathological liar. Marta found out Jay lives in a studio apartment in the outskirts
